CodigoOC;Correlativo;CodigoCategoria;Categoria;CodigoProducto;Producto;EspecificacionComprador;EspecificacionProveedor;Cantidad;Unidad;PrecioNeto;TotalImpuestos;TotalLinea
1057532-530-AG24;4;47131800;Equipos y suministros de limpieza / Suministros de limpieza / Soluciones de limpieza y desinfección;47131803;Desinfectantes domésticos;DESINFECTANTE SUPERFICIES EN AEROSOL ANTIBACTERIAL 360 ML UNIDAD;;50.0;;1690.0;0.0;0.0
1057532-530-AG24;5;53131600;Ropa, maletas y productos de aseo personal / Artículos de baño o tocador / Artículos de baño y cuerpo;53131608;Jabones;JABÓN NEUTRO-GLICERINA LÍQUIDO DOYPACK 1000 ML UNIDAD;;100.0;;1719.0;0.0;0.0
1057532-530-AG24;6;47131600;Equipos y suministros de limpieza / Suministros de limpieza / Escobas, traperos, cepillos y accesorios;47131602;Paños de limpieza absorbente;PAÑO ABSORBENTE MULTIUSO FIBRO CELULOSA PAQUETE DE 6 UNIDADES;;20.0;;2464.0;0.0;0.0
1057532-2221-AG24;1;80111500;Servicios profesionales, administrativos y consultorías de gestión empresarial / Servicios de recursos humanos / Consultorías para el desarrollo de recursos humanos;80111504;Formación, capacitación y entrenamiento de personal;CURSO PROGRAMA DE CAPACITACIÓN PARA 100 PERSONAS POR 2 DÍAS, DE ACUERDO A COMPRA ÁGIL 1057532-884-COT24;CURSO PROGRAMA DE CAPACITACIÓN PARA 100 PERSONAS POR 2 DÍAS, DE ACUERDO A COMPRA ÁGIL 1057532-884-COT24;1.0;;1740000.0;0.0;0.0
1057532-1794-AG23;1;50181900;Alimentos, bebidas y tabaco / Productos de panadería / Pan, galletas y pastelitos dulces;50181901;Pan fresco;PAN FRESCO CORRIENTE / 2 KILOS DIARIOS A ENTREGAR /TOTAL AÑO 2024// 732 KILOS;;732.0;;2100.0;0.0;0.0
1077241-101-AG24;1;31201600;Artículos de fabricación y producción / Cintas adhesivas y selladores / Adhesivos y selladores;31201611;Adhesivos de láminas;-01 Resma Adhesivos de lamina:  -Adhesivos de lamina   para termolaminar.  -Poucher tamaño carta.   -125 micas.  Según Cotización del Proveedor Adjunta.;-01 Resma Adhesivos de lamina:  -Adhesivos de lamina   para termolaminar.  -Poucher tamaño carta.   -125 micas.;1.0;;18000.0;0.0;0.0
1057532-1144-SE24;1;86101800;Educación, formación, entrenamiento y capacitación / Formación profesional / Desarrollo de recursos humanos;86101808;Desarrollo de recursos humanos en el sector público;PROGRAMA DE COACHING PARA JEFATURAS INTERMEDIAS;PROGRAMA DE COACHING PARA JEFATURAS INTERMEDIAS PARA 25 CUPOS/60 HORAS PEDAGÓGICAS POR CUPO//;1.0;;11580000.0;0.0;11580000.0
1057532-1402-AG24;1;90101700;Servicios de Viajes, alimentación, alojamiento y entretenimiento / Restaurantes y catering / Servicios de cafetería;90101701;Gestión de cafetería;COFFE BREAK Mañana, 10:30 a 11:00 aprox, (fecha y lugar de la actividad a confirmar, Entre Octubre y Noviembre 2024);Servicio de Cafeteria;70.0;;2700.0;0.0;0.0
1057532-1402-AG24;2;90101700;Servicios de Viajes, alimentación, alojamiento y entretenimiento / Restaurantes y catering / Servicios de cafetería;90101701;Gestión de cafetería;COFFE BREAK tarde, 15:30 a 16:00 aprox, (fecha y lugar de la actividad a confirmar, Entre Octubre y Noviembre 2024 );Servicio de Cafeteria;35.0;;2300.0;0.0;0.0
1077241-117-AG24;1;30151900;Artículos para estructuras, obras y construcciones / Materiales para terminaciones exteriores / Materiales para acabado;30151901;Toldos;1 TOLDO VELA 9X7 MTS;1 TOLDO VELA 9X7 MTS;1.0;;800000.0;0.0;0.0
1077241-134-AG24;1;44121600;Equipos, accesorios y suministros de oficina / Suministros de oficina / Suministros de escritorio;44121604;Timbres y sellos;4 Timbre ITOS SSO 	- medida 3.5 cm  3 Timbres FOS	- medida 3.5 cm;4 Timbre ITOS SSO 	- medida 3.5 cm  3 Timbres FOS	- medida 3.5 cm;7.0;;18500.0;0.0;0.0
1057532-964-AG24;1;72102300;Servicios de construcción y mantenimiento / Servicios de atención, mantenimiento y reparaciones de edificios / Gasfitería, calefacción y aire acondicionado;72102301;Supervisión de instalación, ajuste o mantenimiento de calderas;Pruebas Reglamentarias e Inscripción en SEREMI de Salud de Caldera para Calefacción de Base SAMU, Decreto 10/12 del Ministerio de Salud. / Según Especificaciones Adjuntas;;1.0;;280000.0;0.0;0.0
1057532-1779-AG24;1;90111500;Servicios de Viajes, alimentación, alojamiento y entretenimiento / Instalaciones hoteleras, alojamientos y centros de eventos / Hoteles, moteles y hostales;90111501;Hoteles;Se requiere Contratar Alojamiento que incluya desayuno, Almuerzo y cena, para 2 personas, 2 noches:  Noche (1) 6/noviembre                              Noche (2) 7/ noviembre. Debe contar con desayuno, Almuerzo para ambos dias y cena para el día 6 de noviembre 6.  se requiere adjuntar fotografias.;Alojamiento;2.0;;146218.0;0.0;0.0
1057532-2233-AG24;1;51141700;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Agentes antipsicóticos;51141704;Risperidona;Risperidona 25 mg Polvo para Suspensión Inyectable de Liberación prolongada, ficha técnica y vencimiento igual o superior a 12 meses.;Cod418203 Risperdal Consta risperidona 25 mg. Presentación: 1 Frasco Ampolla. ISP:F-13502 Venc 31-08-2026 Despacho regiones 48 hrs.;35.0;;62294.0;0.0;0.0
1057532-2233-AG24;2;51141700;Medicamentos y productos farmacéuticos / Medicamentos para el sistema nervioso central / Agentes antipsicóticos;51141704;Risperidona;Risperidona 37.5 mg Polvo para Suspensión Inyectable de Liberación prolongada, ficha técnica y vencimiento igual o superior a 12 meses.;Cod.418204 Risperdal 37.5 mg. Consta risperidona ISP: F-13503 Venc 28-02-2026 Despacho regiones 48 hrs.;20.0;;83059.0;0.0;0.0
1057532-535-SE24;1;78102200;Servicios de transporte, almacenaje y correo / Transporte de correo y carga / Servicios postales de pequeños paquetes y mensajería;78102201;Servicios de entrega postal nacional;Servicio de entrega documentación y paquetes con cobertura nacional;Se adjunta tarifario, nuestros valores son exentos de IVA;1.0;;5000000.0;0.0;5000000.0
1057532-2111-AG24;1;44103100;Equipos, accesorios y suministros de oficina / Maquinarias, suministros y accesorios de oficina / Suministros para impresora, fax y fotocopiadora;44103105;Cartuchos de tinta;4 Kit de 4 recambios para tinta de colores Epson ORIGINALES T504 L4150 L4160 L4260 L6161 L6171 ORIGINALES;4 Kit de 4 recambios para tinta de colores Epson ORIGINALES T504 L4150 L4160 L4260 L6161 L6171 ORIGINALES;4.0;;29738.0;0.0;0.0
1057532-26-SE25;1;78111800;Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera;78111808;Arriendo de vehículos;Servicio de Movilización  Comunidad Terapéutica  Peulla//Movilización  dentro de la ciudad;HORAS INTERURBANO;9.25;;35000.0;0.0;323750.0
1057532-26-SE25;2;78111800;Servicios de transporte, almacenaje y correo / Transporte de pasajeros / Transporte de pasajeros por carretera;78111808;Arriendo de vehículos;Servicio de Movilización  Comunidad Terapéutica  Peulla//Movilización  dentro de la ciudad;HORAS URBANA;60.17;;25000.0;0.0;1504250.0
