Nivel,Concepto Presupuestario,Ley de Presupuestos,Requerimiento,_col_4,Saldo por Aplicar,_col_6,Compromiso,Saldo por Comprometer,Devengado,Saldo por Devengar,Efectivo,Deuda Flotante,Ruta_Jerarquica,Establecimiento,Fecha
5,221100200103 Programa Iniciativa Ministerial PIM CURSOS.C.TERC.,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002001 Cursos Contratados Con Terceros > 221100200103 Programa Iniciativa Ministerial PIM CURSOS.C.TERC.,1638002 Hospital de Osorno,enero 2024
4,2211002002 Postitulos Contratados con Terceros,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002002 Postitulos Contratados con Terceros,1638002 Hospital de Osorno,enero 2024
5,221100200201 Postitulos Contratados con Terceros Ley No.18.575,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002002 Postitulos Contratados con Terceros > 221100200201 Postitulos Contratados con Terceros Ley No.18.575,1638002 Hospital de Osorno,enero 2024
5,221100200202 Postitulos Contratados con Terceros Ley No.19.664,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002002 Postitulos Contratados con Terceros > 221100200202 Postitulos Contratados con Terceros Ley No.19.664,1638002 Hospital de Osorno,enero 2024
5,221100200203 Programa Iniciativa Ministerial PIM POSTI.C.TERC.,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002002 Postitulos Contratados con Terceros > 221100200203 Programa Iniciativa Ministerial PIM POSTI.C.TERC.,1638002 Hospital de Osorno,enero 2024
4,2211002003 Pagos A Profesores Y Monitores,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002003 Pagos A Profesores Y Monitores,1638002 Hospital de Osorno,enero 2024
5,221100200301 Ley 18575 Pagos A Prof Y Monitores,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002003 Pagos A Profesores Y Monitores > 221100200301 Ley 18575 Pagos A Prof Y Monitores,1638002 Hospital de Osorno,enero 2024
5,221100200302 Ley 19664 Pagos A Prof Y Monitores,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002003 Pagos A Profesores Y Monitores > 221100200302 Ley 19664 Pagos A Prof Y Monitores,1638002 Hospital de Osorno,enero 2024
5,221100200303 Programa Iniciativa Ministerial PIM PROFESORES Y M,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002003 Pagos A Profesores Y Monitores > 221100200303 Programa Iniciativa Ministerial PIM PROFESORES Y M,1638002 Hospital de Osorno,enero 2024
4,2211002004 Cursos Contratados con Universidades,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002004 Cursos Contratados con Universidades,1638002 Hospital de Osorno,enero 2024
5,221100200401 Cursos Contratados con Universidades Ley No.18.575,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002004 Cursos Contratados con Universidades > 221100200401 Cursos Contratados con Universidades Ley No.18.575,1638002 Hospital de Osorno,enero 2024
5,221100200402 Cursos Contratados con Universidades Ley No.19.664,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002004 Cursos Contratados con Universidades > 221100200402 Cursos Contratados con Universidades Ley No.19.664,1638002 Hospital de Osorno,enero 2024
5,221100200403 Programa Iniciativa Ministerial PIM CURSOS.C.UNIV.,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,22 BIENES Y SERVICIOS DE CONSUMO > 2211 Servicios Técnicos y Profesionales > 2211002 Cursos de Capacitación > 2211002004 Cursos Contratados con Universidades > 221100200403 Programa Iniciativa Ministerial PIM CURSOS.C.UNIV.,1638002 Hospital de Osorno,enero 2024
