CodigoCompraAgil;CodigoProducto;Nombre;Descripcion;Cantidad;UnidadMedida
1057532-123-COT26;55121606;Etiquetas autoadhesivas;Pack de Etiquetas adhesivas para distintivos.;1;PACK
1057532-123-COT26;60121124;Papel kraft;Papel Kraft;20;PGL
1057532-122-COT26;42182304;Sets o kits de pruebas psicodiagnósticas;CPS. Cuestionario de Personalidad situacional Kit de Corrección (25 hojas de respuestas, pin 25 usos);10;KIT
1057532-122-COT26;42182304;Sets o kits de pruebas psicodiagnósticas;CompeTEA. Evaluación de competencias. Kit de Corrección (25 hojas de respuestas, pin 25 usos);22;KIT
1057532-122-COT26;42182304;Sets o kits de pruebas psicodiagnósticas;16 PF-5. Cuestionario Factorial de Personalidad. Juego completo (Manual, 10 cuadernillos, Kit corrección 25 usos);1;KIT
1057532-122-COT26;42182304;Sets o kits de pruebas psicodiagnósticas;16 PF-5. Cuestionario Factorial de Personalidad. Kit de Corrección (25 hojas de respuestas, pin 25 usos);14;KIT
1057532-128-COT26;50192501;Sandwiches y canapés con relleno frescos;Sándwich de pan fresco tipo hallulla, con mantequilla y doble queso (sin bordes, no artesanales). Cada sándwich deberá ser entregado envuelto individualmente en papel alusa.;20;EA
1057532-128-COT26;50192801;Empanadas, tartas y pies frescos;kuchen tamaño para 20 personas;1;EA
1057532-128-COT26;52151502;Platos desechables domésticos;platos desechables chicos (18 cm diámetro aprox.);30;EA
1057532-128-COT26;50181905;Galletas dulces o pastelitos;galletas dulces (variedades).;3;PK
1057532-128-COT26;50181909;Galletas saladas;galletas saladas (variedades).;6;PK
1057532-128-COT26;50221202;Cereales en barra;barras de cereal sabor frutos rojos.;20;EA
1057532-127-COT26;50192501;Sandwiches y canapés con relleno frescos;Sándwich de pan fresco tipo hallulla, con mantequilla y doble queso (sin bordes, no artesanales). Cada sándwich deberá ser entregado envuelto individualmente en papel alusa.;60;EA
1057532-127-COT26;50101634;Fruta fresca;Naranjas frescas.;35;EA
1057532-127-COT26;50101634;Fruta fresca;Manzanas frescas.;35;EA
1057532-127-COT26;50192801;Empanadas, tartas y pies frescos;Kuchen tamaño para 20 personas;1;EA
1057532-127-COT26;14111703;Toallas de papel;toalla de papel de 100 metros.;1;EA
1057532-127-COT26;52151502;Platos desechables domésticos;platos desechables chicos (18 cm diámetro aprox.);30;EA
1057532-127-COT26;50201709;Café instantáneo;tarro de café de 400 gramos.;1;JR
1057532-127-COT26;50201713;Bolsitas de te;caja de té de 100 unidades.;1;BX
1057532-127-COT26;50181905;Galletas dulces o pastelitos;galletas dulces (variedades).;3;PK
1057532-127-COT26;50181909;Galletas saladas;galletas saladas (variedades).;6;PK
1057532-127-COT26;50131701;Leche o productos de mantequilla;litro de leche.;1;LTR
1057532-126-COT26;50192501;Sandwiches y canapés con relleno frescos;Sándwich de pan fresco tipo hallulla, con mantequilla y doble queso (sin bordes, no artesanales, de marca reconocida). Cada sándwich deberá ser entregado envuelto individualmente en papel alusa.;20;EA
1057532-126-COT26;50101634;Fruta fresca;Naranjas Frescas.;10;EA
1057532-126-COT26;50101634;Fruta fresca;Manzanas Frescas.;10;EA
1057532-126-COT26;52151504;Tazas o vasos desechables domésticos;vasos de polipapel de 250 cc.;100;EA
1057532-126-COT26;52151704;Cucharas domésticas;cucharas (aprox. 15 cm) – 1 bolsa de 100 unidades.;100;EA
1057532-126-COT26;50202310;Agua mineral;agua mineral de 1,6 litros.;2;BO
1057532-126-COT26;50161509;Productos de edulcorantes o azúcares naturales;kilo de azúcar (marca reconocida).;1;KGM
1057532-126-COT26;50201709;Café instantáneo;Café de 400 gramos.;1;JR
1057532-126-COT26;50161509;Productos de edulcorantes o azúcares naturales;endulzante líquido de 350 ml (tapa verde).;1;BO
1057532-126-COT26;50201713;Bolsitas de te;caja de té normal de 100 unidades.;1;BX
1057532-126-COT26;50181905;Galletas dulces o pastelitos;galletas dulces (variedades).;11;PK
1057532-126-COT26;50181909;Galletas saladas;galletas saladas (variedades).;4;PK
1057532-126-COT26;50192110;Nueces o frutos secos;mix de frutos secos (referencia: bolsas tipo mix energía Bri Snacks de 30 gramos).;50;EA
1057532-126-COT26;50131701;Leche o productos de mantequilla;litro de leche.;1;LTR
1057532-125-COT26;72102602;Instalación de ventanas, puertas o accesorios;Adquisición y servicio de instalación de tres (3) mallas mosquiteras para ventanas./ Según Especificaciones adjuntas.;3;EA
1057532-129-COT26;42182304;Sets o kits de pruebas psicodiagnósticas;CPS. Cuestionario de Personalidad situacional Kit de Corrección (25 hojas de respuestas, pin 25 usos);10;KIT
1057532-129-COT26;42182304;Sets o kits de pruebas psicodiagnósticas;CompeTEA. Evaluación de competencias. Kit de Corrección (25 hojas de respuestas, pin 25 usos);22;KIT
1057532-129-COT26;42182304;Sets o kits de pruebas psicodiagnósticas;16 PF-5. Cuestionario Factorial de Personalidad. Juego completo (Manual, 10 cuadernillos, Kit corrección 25 usos);1;KIT
1057532-129-COT26;42182304;Sets o kits de pruebas psicodiagnósticas;16 PF-5. Cuestionario Factorial de Personalidad. Kit de Corrección (25 hojas de respuestas, pin 25 usos);14;KIT
1057532-131-COT26;26111704;Cargadores de baterías;Cargador y Fuente de alimentación (MT, MS y MD) de 100W para ventilador mecánico de transporte Weinmann Medumat Transport / Según Especificaciones adjuntas.;1;EA
1057532-132-COT26;90101701;Gestión de cafetería;Servicio de cafetería para Jornada de Actualización de Patologías Médicas dirigido a médicos de Atención primaria y Hospitales dependientes. Para 40 participantes, Jornadas AM y PM, por 2 días (desde el 22 al 23 de Abril 2026). Se adjuntan Especificaciones del servicio.;160;EA
1057532-134-COT26;90101701;Gestión de cafetería;Servicio de cafeteria para 2 (Dias), 15 y 16 de abril 2026, en dependencias ubicadas en Manuel Rodriguez #759, segundo piso.  alimentacion a entregar se indica en formulario de Especificcaiones tecnicas.;44;EA
1057532-133-COT26;42182304;Sets o kits de pruebas psicodiagnósticas;CPS. Cuestionario de Personalidad situacional Kit de Corrección (25hojas de respuestas, pin 25 usos);10;KIT
1057532-133-COT26;42182304;Sets o kits de pruebas psicodiagnósticas;CompeTEA. Evaluación de competencias. Kit de Corrección (25 hojas de respuestas, pin 25 usos);22;KIT
1057532-133-COT26;42182304;Sets o kits de pruebas psicodiagnósticas;16 PF-5. Cuestionario Factorial de Personalidad. Juego completo (Manual, 10 cuadernillos, Kit corrección 25 usos);1;KIT
1057532-133-COT26;42182304;Sets o kits de pruebas psicodiagnósticas;16 PF-5. Cuestionario Factorial de Personalidad. Kit de Corrección (25 hojas de respuestas, pin 25 usos);14;KIT
1057532-139-COT26;78121601;Servicios de flete;SERVICIO DE TRASLADO DE EQUIPOS Y EQUIPAMIENTO A CECOSF EL ENCANTO / SEGÚN DETALLE ADJUNTO;1;EA
1057532-139-COT26;78121601;Servicios de flete;SERVICIO DE TRASLADO DE EQUIPOS Y EQUIPAMIENTO A PSR COSTA RIO BLANCO / SEGÚN DETALLE ADJUNTO;1;EA
1057532-138-COT26;42203501;Accesorios o desfibriladores implantables o generadores de marcapasos cardíacos;PARCHES DEA / SEGÚN ESPECIFICACIONES ADJUNTAS;1;EA
1057532-137-COT26;42181606;Mangas de inflación de presión sanguínea o mangas neumáticas o adaptadores;"""Manguera PANI doble lumen. Código de referencia: ZOLAC8300-0002-01. Compatible con el equipo: Zoll X Serie.";2;EA
1057532-137-COT26;42181606;Mangas de inflación de presión sanguínea o mangas neumáticas o adaptadores;"""Manguera PANI doble lumen. Código de referencia: 6200-30-09688. Compatible con el equipo: Benevision N1.""";2;EA
1057532-137-COT26;42181606;Mangas de inflación de presión sanguínea o mangas neumáticas o adaptadores;"""Manguera PANI doble lumen. Código de referencia: GEAC107363. Compatible con el equipo: GE V100.";1;EA
1057532-137-COT26;42181606;Mangas de inflación de presión sanguínea o mangas neumáticas o adaptadores;"""Brazalete PANI Pediátrico doble lumen. Diámetro Brazo entre 9 y 14 cm (±1 cm). Código de referencia: REUSE07. Compatible con el equipo: Zoll X Serie/GE V100.""";2;EA
1057532-137-COT26;42181606;Mangas de inflación de presión sanguínea o mangas neumáticas o adaptadores;"""Brazalete PANI Pediátrico doble lumen. Diámetro Brazo entre 11 y 18 cm (±1.5 cm). Código de referencia: REUSE08. Compatible con el equipo: Zoll X Serie/GE V100.""";2;EA
1057532-137-COT26;42181606;Mangas de inflación de presión sanguínea o mangas neumáticas o adaptadores;"""Brazalete PANI Pediátrico doble lumen. Diámetro Brazo entre 15 y 21 cm (±1.5 cm). Código de referencia: REUSE09. Compatible con el equipo: Zoll X Serie/GE V100.""";3;EA
1057532-137-COT26;42181606;Mangas de inflación de presión sanguínea o mangas neumáticas o adaptadores;"""Brazalete PANI Adulto Pequeño doble lumen. Diámetro Brazo entre 20 y 27 cm (±1.5 cm). Código de referencia: REUSE10. Compatible con el equipo: Zoll X Serie/GE V100.""";2;EA
1057532-137-COT26;42181606;Mangas de inflación de presión sanguínea o mangas neumáticas o adaptadores;"""Brazalete PANI Adulto doble lumen. Diámetro Brazo entre 25 y 34 cm (±1 cm). Código de referencia: REUSE11. Compatible con el equipo: Zoll X Serie/GE V100.""";3;EA
