CodigoLicitacion;Numero;Nombre;CodigoEstado;Estado;Descripcion;Tipo;CodigoTipo;TipoConvocatoria;Moneda;Etapas;EstadoEtapas;C_CodigoOrganismo;C_NombreOrganismo;C_RutUnidad;C_CodigoUnidad;C_Unidad;C_DireccionUnidad;C_ComunaUnidad;C_RegionUnidad;C_RutUsuario;C_CodigoUsuario;C_Usuario;C_Cargo;FechaCreacion;FechaCierre;FechaInicio;FechaFinal;FechaPubRespuestas;FechaActoAperturaTecnica;FechaActoAperturaEconomica;FechaPublicacion;FechaAdjudicacion;FechaEstimadaAdjudicacion;FechaSoporteFisico;FechaTiempoEvaluacion;FechaEstimadaFirma;FechaVisitaTerreno;FechaEntregaAntecedentes;FechaInicioContrato;DiasCierreLicitacion;Informada;TomaRazon;EstadoPublicidadOfertas;JustificacionPublicidad;Contrato;Obras;CantidadReclamos;UnidadTiempoEvaluacion;DireccionVisita;DireccionEntrega;Estimacion;FuenteFinanciamiento;VisibilidadMonto;MontoEstimado;JustificacionMonto;Tiempo;UnidadTiempo;Modalidad;TipoPago;Resp_Pago;Resp_Email_Pago;Resp_Contrato;Resp_Email;Resp_Fono;ProhibicionContratacion;SubContratacion;UnidadTiempoDuracion;TiempoDuracionContrato;TipoDuracionContrato;ObservacionContract;ExtensionPlazo;EsBaseTipo;UnidadTiempoContratoLicitacion;ValorTiempoRenovacion;PeriodoTiempoRenovacion;EsRenovable;CodigoBIP;Adj_Tipo;Adj_Fecha;Adj_Numero;Adj_NumeroOferentes;Adj_UrlActa
1057532-15-LE26;;Convenio Accesorios Ventiladores 2do Llamado;6;Cerrada;El Servicio ha elaborado las presentes Bases Administrativas y Técnicas que contienen todos los requerimientos para materializar el “Convenio de accesorios para ventiladores mecánicos de transporte, monitores de signos vitales y desfibriladores de base SAMU Osorno periodo 2026 2do. llamado”.;LE;1;1;CLP;1;0;7296;SERVICIO DE SALUD OSORNO;61.607.600-0;1057532;Bienes y Servicios;Av. Juan Mackenna N°825, Edificio Plaza Sur;Osorno;Región de los Lagos ;;6060;Rubén Uribe;Administrativo;2026-01-27T14:12:04.267;2026-03-02T15:00:00;2026-02-20T13:01:00;2026-02-25T15:00:00;2026-02-26T15:30:00;2026-03-02T15:10:00;2026-03-02T15:10:00;2026-02-20T12:38:40.74;2026-03-31T17:00:00;2026-03-31T17:00:00;;1900-01-21T00:00:00;;;;2026-02-20T13:01:00;0;0;0;1;;1;0;289;2;;;2;Servicio Salud Osorno;0;0.0;;;2;1;4;Erwin Camino B.;;khris Silva Vargas;;;Según lo estipulado en numeral 7.4 de las bases;0;1;0; ;;0;0;1;0; ;0;;;;;;
1057532-11-LE26;;SERVICIO DE REGISTRO Y EMISIÓN LICENCIAS MÉDICAS;6;Cerrada;PROVISIÓN DEL SERVICIO DE REGISTRO Y EMISIÓN DE LICENCIAS MÉDICAS ELECTRÓNICAS PARA LA RED ASISTENCIAL DEL SERVICIO DE SALUD OSORNO;LE;1;1;CLP;1;0;7296;SERVICIO DE SALUD OSORNO;61.607.600-0;1057532;Bienes y Servicios;Av. Juan Mackenna N°825, Edificio Plaza Sur;Osorno;Región de los Lagos ;;1952433;JUAN FELIPE ROJEL HUENTRO;PROFESIONAL DE APOYO;2026-01-21T16:52:54.9;2026-03-02T15:00:00;2026-02-20T16:35:00;2026-02-23T17:00:00;2026-02-25T17:00:00;2026-03-02T15:01:00;2026-03-02T15:01:00;2026-02-20T16:32:59.81;2026-04-01T17:00:00;2026-04-01T17:00:00;;1900-01-16T00:00:00;;;;2026-02-20T16:35:00;0;0;0;1;;1;0;289;2;;;2;Servicio de Salud Osorno;0;0.0;;36;2;1;4;RODRIGO MARTINEZ;;Bruno Ojeda Alvarez;;;NO SE PERMITE SUBCONTRATACIÓN, DE ACUERDO A NUMERAL 7.7 DE LAS BASES ADJUNTAS.;0;4;36; ;;0;0;2;0; ;0;;;;;;
