CodigoCompraAgil;CodigoProducto;Nombre;Descripcion;Cantidad;UnidadMedida
1057532-115-COT26;90101701;Gestión de cafetería;Servicio de catering que proporcione alimentación y Coffee break para actividades institucionales, garantizando calidad, puntualidad y cumplimiento de estándares sanitarios. El servicio se requiere en el marco del curso que se realizará en las siguientes fechas: • 31 de marzo de 2026 • 1 de abril de 2026 • 2 de abril de 2026. Lugar: INACAP Sede Osorno, ubicada en Av. René Soriano 2382., sala 412.;180;EA
1057532-114-COT26;55121612;Etiquetas de impresora;Rollos Etiquetas para Impresora ZEBRA ZD 888T;20;RO
1057532-114-COT26;55121612;Etiquetas de impresora;Rollos térmicos Impresora voucher ZEBRA ZD421;50;RO
1077241-5-COT26;90101701;Gestión de cafetería;Servicio de cafetería para Programa de Capacitación para la Prevención y Diagnóstico Precoz del Cáncer Colorrectal, jornada de formación dirigida a médicos y profesionales de la red asistencial. Para 40 participantes. Jornadas AM y PM, el día 30 de marzo de 2026, en Mutual de Seguridad Osorno Dr. Guillermo Bühler 1756. Se adjuntan Especificaciones del Servicio.;40;EA
1057532-111-COT26;47121502;Accesorios para carros de limpieza;MANILLAR COMPLETO PARA ABRILLANTADORA SAUBER C-17 / SEGÚN ESPECIFICACIONES ADJUNTAS;1;KIT
