CodigoOC;Correlativo;CodigoCategoria;Categoria;CodigoProducto;Producto;EspecificacionComprador;EspecificacionProveedor;Cantidad;Unidad;PrecioNeto;TotalImpuestos;TotalLinea
1057532-287-AG25;1;46161500;Equipos y suministros de defensa, orden público, protección y seguridad / Seguridad y control público / Control de tráfico;46161508;Delimitadores o conos de tráfico;"Conos de Seguridad 28"" / Según Especificaciones Adjuntas";"Conos de Seguridad 28""";4.0;;12500.0;0.0;0.0
1057532-287-AG25;2;46161500;Equipos y suministros de defensa, orden público, protección y seguridad / Seguridad y control público / Control de tráfico;46161508;Delimitadores o conos de tráfico;Barras Conectoras para Conos de Seguridad / Según Especificaciones Adjuntas;Barras Conectoras para Conos de Seguridad;4.0;;7500.0;0.0;0.0
1057532-287-AG25;3;55121700;Productos impresos y publicaciones / Etiquetado y accesorios / Etiquetado;55121704;Señales de seguridad;Señalética Tipo Paloma / Según Especificaciones Adjuntas;Señalética Tipo Paloma;2.0;;23000.0;0.0;0.0
1057532-287-AG25;4;55121700;Productos impresos y publicaciones / Etiquetado y accesorios / Etiquetado;55121705;Señales autoadhesivas;Señaléticas Autoadhesivas de Riesgo Eléctrico / Según Especificaciones Adjuntas;Señaléticas Autoadhesivas de Riesgo Eléctrico;4.0;;5900.0;0.0;0.0
1057532-313-CM25;1;0;;0;PASAJE AÉREO NACIONAL;(2237550) PASAJE AÉREO NACIONAL;(2237550) PASAJE AÉREO NACIONAL , Región Metropolitana de Santiago, Las Condes, Por correo electrónico;1.0;;54004.0;0.0;54004.0
1057532-207-AG25;1;82121500;Servicios editoriales, de diseño, publicidad, gráficos y artistas / Servicios de impresión y reproducción / Impresión;82121512;Grabado en relieve;Grabado de forma permanente de placas patentes en vidrios y espejos laterales de ambulancias SAMU y vehículos de la Dirección del Servicio de Salud Osorno. Se adjunta archivo con listado de vehículos y código QR;;1.0;;150000.0;0.0;0.0
1057532-297-AG25;1;42271700;Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Sistemas y dispositivos de terapia de entrega de oxígeno;42271707;Sensores o reguladores de caudal, o componentes;Regulador de oxígeno medicinal conexión yugo CGA 870. Salida DISS. Capacidad máxima de 15 LPM. Para uso en cilindros 0,4 m3  Pin Index. Código de referencia: RL-243.  Según Especificaciones Técnicas Adjuntas.;Regulador de oxígeno medicinal conexión yugo CGA 870. Salida DISS. Capacidad máxima de 15 LPM. Para uso en cilindros 0,4 m3  Pin Index. Código de referencia: RL-243.  Según Especificaciones Técnicas Adjuntas.;16.0;;36000.0;0.0;0.0
1057532-298-CM25;1;0;;0;PASAJE AÉREO NACIONAL;(2237550) PASAJE AÉREO NACIONAL;(2237550) PASAJE AÉREO NACIONAL , Región Metropolitana de Santiago, Las Condes, Por correo electrónico;1.0;;39591.0;0.0;39591.0
1057532-298-CM25;2;0;;0;PASAJE AÉREO NACIONAL;(2237550) PASAJE AÉREO NACIONAL;(2237550) PASAJE AÉREO NACIONAL , Región Metropolitana de Santiago, Las Condes, Por correo electrónico;1.0;;39591.0;0.0;39591.0
