CodigoOC;Correlativo;CodigoCategoria;Categoria;CodigoProducto;Producto;EspecificacionComprador;EspecificacionProveedor;Cantidad;Unidad;PrecioNeto;TotalImpuestos;TotalLinea
1077241-90-AG25;1;53121500;Ropa, maletas y productos de aseo personal / Maletas, bolsos de mano, mochilas y estuches / Maletas;53121501;Bolsos;Bolso mochila paramédico igual o similar I KEMP 10-122-RED-PRE.Cubierta impermeable, de 45,72 cm x 30.48 cm x 33.02 cm, 3,10 kg., 32,70 litros, color rojo.;Según cotización adjunta #67588;1.0;;174750.0;0.0;0.0
1057532-4483-AG25;1;90101700;Servicios de Viajes, alimentación, alojamiento y entretenimiento / Restaurantes y catering / Servicios de cafetería;90101701;Gestión de cafetería;SERVICIO DE CAFETERIA 696  RACIONES.;;696.0;;2401.0;0.0;0.0
1057532-4840-AG25;1;56101900;Muebles y mobiliario / Muebles de alojamiento / Piezas de mobiliario y accesorios;56101904;Bases, patas o extensiones de patas de muebles;MEJORAMIENTO DE CUBIERTA MUEBLE.;;2.0;;160000.0;0.0;0.0
1057532-4883-SE25;1;42271700;Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Sistemas y dispositivos de terapia de entrega de oxígeno;42271701;Cilindros de gas médicos o dispositivos relacionad;Recarga cilindros particulares 1 m3;Recarga cilindros particulares 1 m3;8.0;;3384.0;0.0;27072.0
1057532-4883-SE25;2;42271700;Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Sistemas y dispositivos de terapia de entrega de oxígeno;42271701;Cilindros de gas médicos o dispositivos relacionad;Flete por CILINDROS;Flete por CILINDROS;8.0;;8849.0;0.0;70792.0
1057532-4883-SE25;3;42271700;Equipamiento y suministros médicos / Productos de resucitación, anestesia y respiratorios / Sistemas y dispositivos de terapia de entrega de oxígeno;42271701;Cilindros de gas médicos o dispositivos relacionad;Arriendo de cilindros / Julio 2025;Arriendo de cilindros.;1674.0;;300.0;0.0;502200.0
1057532-4893-CM25;1;0;;0;PASAJE AÉREO NACIONAL;(2237550) PASAJE AÉREO NACIONAL;(2237550) PASAJE AÉREO NACIONAL , Región Metropolitana de Santiago, Las Condes, Por correo electrónico;1.0;;182501.0;0.0;182501.0
